month,trades,pnl_rm,ending_balance_rm
2026-01,21,-12.218696472282065,87.78130352771794
2026-02,14,35.831273647061415,123.61257717477936
2026-03,19,-16.596510569307014,107.01606660547236
2026-04,25,-29.532821622572875,77.4832449828995
2026-05,24,-40.009204039378595,37.47404094352092
2026-06,22,-13.896658269471653,23.577382674049268
2026-07,23,-1.8365163340838637,21.7408663399654
2026-08,26,-2.166079916259566,19.574786423705834
2026-09,12,-3.8608087963767197,15.713977627329118
