candidate,trades,trades_per_30d,end_rm,lowest_rm,max_drawdown_pct,min_month_trades,params
V6-1171,448,18.38577291381669,4.1470570577715655,0.7242930713294005,99.33661667446327,8,"{""body_min"": 0.55, ""excursion_atr"": 0.0, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0244,544,22.325581395348838,3.5933107725026465,0.8230897111255779,99.45782504629513,8,"{""body_min"": 0.55, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-0252,544,22.325581395348838,3.5933107725026465,0.8230897111255779,99.45782504629513,8,"{""body_min"": 0.55, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-0200,640,26.265389876880985,3.483613228279023,0.4860716035277295,99.73297713621932,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""DYNAMIC""}"
V6-0208,640,26.265389876880985,3.483613228279023,0.4860716035277295,99.73297713621932,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""DYNAMIC""}"
V6-1159,518,21.258549931600548,3.2176254083224207,0.3981850081168527,99.63909979027747,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""FIXED4""}"
V6-1163,549,22.53077975376197,3.16865158101922,0.21720800255502065,99.80248781471613,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-1195,525,21.545827633378934,2.8489002709503506,0.23933337535812838,99.782368709153,8,"{""body_min"": 0.4, ""excursion_atr"": 0.1, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0232,619,25.403556771545826,2.8048789928570037,0.5399691312086623,99.70336859277096,8,"{""body_min"": 0.4, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""DYNAMIC""}"
V6-0240,619,25.403556771545826,2.8048789928570037,0.5399691312086623,99.70336859277096,8,"{""body_min"": 0.4, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""DYNAMIC""}"
