year,month,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,2024-05,39,-12.90323827984953,-0.3308522635858854,25.64102564102564
2024,2024-04,39,-10.521639500663673,-0.26978562822214547,23.076923076923077
2024,2024-06,35,-9.876169527180268,-0.2821762722051505,25.71428571428571
2025,2025-08,31,-8.65784205461733,-0.279285227568301,25.806451612903224
2024,2024-02,34,-6.226212131573952,-0.1831238862227633,29.411764705882355
2024,2024-01,31,-6.041000641497622,-0.19487098843540715,32.25806451612903
2026,2026-07,34,-4.892732973220649,-0.1439039109770779,26.47058823529412
2026,2026-09,22,-3.7675837004779336,-0.17125380456717879,22.727272727272727
2025,2025-05,28,-2.7316892992825705,-0.09756033211723467,28.57142857142857
2024,2024-07,36,-2.1758858029828128,-0.060441272305078134,33.33333333333333
2025,2025-11,28,-1.3477804533353979,-0.048135016190549926,35.714285714285715
2024,2024-10,42,-1.223059132269042,-0.02912045553021529,35.714285714285715
2026,2026-02,27,-0.6240821126288711,-0.02311415231958782,33.33333333333333
2026,2026-05,33,-0.5600264678928999,-0.01697049902705757,33.33333333333333
2024,2024-11,34,-0.5031780451765988,-0.014799354269899964,29.411764705882355
2024,2024-08,33,0.7138503561271254,0.021631828973549257,33.33333333333333
2026,2026-04,34,1.054987284735997,0.03102903778635285,32.35294117647059
2025,2025-07,41,2.5381921830919847,0.06190712641687768,34.146341463414636
2025,2025-02,32,2.9005701867993223,0.09064281833747882,31.25
2024,2024-09,35,3.6298639673287796,0.10371039906653656,42.857142857142854
2024,2024-12,40,4.456983892217297,0.11142459730543242,35.0
2025,2025-10,20,6.980007104697009,0.34900035523485046,40.0
2025,2025-06,29,8.005373402926267,0.2760473587215954,44.827586206896555
2025,2025-09,19,9.642820260650387,0.5075168558237045,47.368421052631575
2026,2026-08,31,9.823270272954689,0.3168796862243448,45.16129032258064
2024,2024-03,35,10.008919258288403,0.28596912166538296,37.142857142857146
2025,2025-01,36,10.938274759565942,0.3038409655434984,44.44444444444444
2025,2025-04,36,12.32163085557403,0.34226752376594527,47.22222222222222
2025,2025-03,31,12.535236451982893,0.40436246619299654,41.935483870967744
2025,2025-12,34,17.505574135582815,0.5148698275171416,47.05882352941176
2026,2026-03,35,19.034947100822208,0.5438556314520631,48.57142857142857
2026,2026-06,33,20.704881380198078,0.6274206478847902,45.45454545454545
2026,2026-01,35,21.525448594386027,0.6150128169824579,45.714285714285715
