year,router_mode,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,MIXED,234,-23.866711837727806,-0.10199449503302481,32.47863247863248
2024,TREND,199,-6.794053749504092,-0.03414097361559845,31.155778894472363
2026,MIXED,143,10.300779801808966,0.07203342518747528,35.66433566433567
2025,MIXED,195,26.32559964776047,0.13500307511672036,37.43589743589744
2025,TREND,170,44.30476788587488,0.26061628168161693,40.588235294117645
2026,TREND,141,51.99832957706768,0.36878247926998353,39.71631205673759
