year,htf_state,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,NEUTRAL_MIX,201,-12.778318100488347,-0.06357372189297684,34.32835820895522
2024,ALIGNED_WEAK,32,-10.05024791856171,-0.31407024745505346,21.875
2024,STRONG_ALIGNED,199,-6.794053749504092,-0.03414097361559845,31.155778894472363
2024,OPPOSED_HTF,1,-1.038145818677748,-1.038145818677748,0.0
2026,OPPOSED_HTF,1,-1.0178586684280668,-1.0178586684280668,0.0
2025,ALIGNED_WEAK,19,2.1917217564676896,0.11535377665619419,26.31578947368421
2026,ALIGNED_WEAK,18,2.3862571063748366,0.13256983924304647,33.33333333333333
2026,NEUTRAL_MIX,124,8.932381363862197,0.07203533357953384,36.29032258064516
2025,NEUTRAL_MIX,176,24.13387789129278,0.13712430620052715,38.63636363636363
2025,STRONG_ALIGNED,170,44.30476788587488,0.26061628168161693,40.588235294117645
2026,STRONG_ALIGNED,141,51.99832957706768,0.36878247926998353,39.71631205673759
