year,range_atr_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,1.5+ ATR,88,-17.208227631148127,-0.1955480412630469,28.40909090909091
2024,1.0-1.5 ATR,143,-16.211713311569405,-0.1133686245564294,29.37062937062937
2026,<0.6 ATR,19,-8.878673031623924,-0.4672985806117855,15.789473684210526
2025,<0.6 ATR,31,-0.2880692830190048,-0.00929255751674209,29.03225806451613
2024,0.6-1.0 ATR,164,-0.1494085590450791,-0.0009110277990553604,34.756097560975604
2026,1.5+ ATR,47,0.1942931914059296,0.004133897689487864,31.914893617021278
2024,<0.6 ATR,38,2.9085839145307153,0.07654168196133461,36.84210526315789
2025,1.5+ ATR,52,4.835349338794416,0.09298748728450801,38.46153846153847
2025,0.6-1.0 ATR,138,24.970495253950343,0.18094561778224885,38.405797101449274
2026,0.6-1.0 ATR,115,28.755221371575317,0.2500454032310897,40.0
2025,1.0-1.5 ATR,144,41.1125922239096,0.2855041126660389,41.66666666666667
2026,1.0-1.5 ATR,103,42.22826784751932,0.4099831829856245,41.74757281553398
