year,technique,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,123,-36.23889486283324,-0.2946251614864491,26.01626016260163
2024,V1 Legacy M15,86,-9.402636517378266,-0.10933298276021239,30.23255813953488
2024,Outcome First M15,79,-7.772393860377033,-0.09838473240983586,30.37974683544304
2026,V1 Legacy M15,67,2.1693409215199018,0.032378222709252266,34.32835820895522
2026,Structural Frequency M15,46,5.642479023866176,0.12266258747535166,39.130434782608695
2026,Outcome First M15,47,8.083698654255363,0.17199358838841197,36.17021276595745
2025,V1 Legacy M15,76,8.594950653056937,0.1130914559612755,36.84210526315789
2025,Structural Portfolio MTF,122,9.205815203723056,0.07545750166986111,32.78688524590164
2024,Structural Frequency M15,57,11.090934294053223,0.19457779463251268,45.614035087719294
2024,M15-0591 MTF,88,11.662225359303424,0.13252528817390255,34.090909090909086
2025,Structural Frequency M15,65,14.942401629238628,0.22988310198828657,44.61538461538462
2025,Outcome First M15,50,17.35796543287928,0.3471593086575856,46.0
2025,M15-0591 MTF,52,20.52923461473745,0.3947929733603356,42.30769230769231
2026,M15-0591 MTF,43,21.25569761860219,0.4943185492698184,39.53488372093023
2026,Structural Portfolio MTF,81,25.147893160633014,0.31046781679793845,39.50617283950617
