year,feed,entry_time,month,hour_utc,session,technique,direction,direction_text,net_r,gross_r,target_r,reason,h1_bias,h4_bias,h1_align_trade,h4_align_trade,both_align_trade,both_oppose_trade,htf_state,router_mode,h4_adx,h4_adx_band,m15_adx,m15_adx_band,range_atr,range_atr_band,atr
2024,secondary,2024-01-15 16:15:00+00:00,2024-01,16,NEW_YORK,Structural Portfolio MTF,1,LONG,-1.0427801285364715,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,24.557511788218044,22-30,17.66558148638973,15-20,0.9570862222888091,0.6-1.0 ATR,1.8075696418059768
2024,secondary,2024-01-16 14:00:00+00:00,2024-01,14,NEW_YORK,Outcome First M15,1,LONG,-1.0300527572936997,-1.0,2.0,stop,-1,0,False,False,False,False,NEUTRAL_MIX,MIXED,24.296798322629,22-30,48.35943368142147,25+,1.7424118718440678,1.5+ ATR,3.701765411626666
2024,secondary,2024-01-17 05:15:00+00:00,2024-01,5,ASIA,V1 Legacy M15,-1,SHORT,-1.0438971686245708,-1.0,2.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,22.229626412654024,22-30,20.065695090942118,20-25,2.3398972313556694,1.5+ ATR,2.149667059132223
2024,secondary,2024-01-17 15:15:00+00:00,2024-01,15,NEW_YORK,M15-0591 MTF,-1,SHORT,0.22260991951718734,0.2472340652353176,4.0,time_exit,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,21.902568364568396,18-22,27.430753916856645,25+,0.974394873917343,0.6-1.0 ATR,3.745914616038394
2024,secondary,2024-01-18 13:30:00+00:00,2024-01,13,NEW_YORK,Structural Frequency M15,-1,SHORT,-1.0329144214714252,-1.0,3.0,stop,0,-1,False,True,False,False,NEUTRAL_MIX,MIXED,25.912721868430236,22-30,11.635555975100019,<15,1.4741058647475207,1.0-1.5 ATR,2.211510094329861
2024,secondary,2024-01-19 16:15:00+00:00,2024-01,16,NEW_YORK,Structural Frequency M15,1,LONG,-1.045996558632443,-1.0,3.0,stop,1,0,True,False,False,False,NEUTRAL_MIX,MIXED,20.015846024665144,18-22,27.633528874036024,25+,1.0230066073036626,1.0-1.5 ATR,3.069383890174441
2024,secondary,2024-01-22 13:30:00+00:00,2024-01,13,NEW_YORK,Outcome First M15,-1,SHORT,-1.0375625625201699,-1.0,2.0,stop,1,0,False,False,False,False,NEUTRAL_MIX,MIXED,19.752059154189872,18-22,23.191796923944082,20-25,1.1478274590024091,1.0-1.5 ATR,2.4132546910904384
2024,secondary,2024-01-25 07:45:00+00:00,2024-01,7,LONDON,Outcome First M15,1,LONG,-1.0629804695099694,-1.0,3.0,stop,-1,-1,False,False,False,True,ALIGNED_WEAK,MIXED,16.833494297330407,<18,10.587635997836957,<15,1.502269697341773,1.5+ ATR,1.517703514911053
2024,secondary,2024-01-25 12:30:00+00:00,2024-01,12,NEW_YORK,Structural Portfolio MTF,-1,SHORT,-1.0389785278191799,-1.0,4.0,stop,-1,-1,True,True,True,False,ALIGNED_WEAK,MIXED,16.33715568836107,<18,14.86834396034646,<15,1.3160577087885896,1.0-1.5 ATR,1.7856359826067558
2024,secondary,2024-01-25 15:45:00+00:00,2024-01,15,NEW_YORK,Structural Frequency M15,-1,SHORT,-0.0819615493207077,-0.04450008220308658,3.0,time_exit,0,-1,False,True,False,False,NEUTRAL_MIX,MIXED,16.33715568836107,<18,15.206114484944598,15-20,1.1799033126213585,1.0-1.5 ATR,3.432484642323939
