month,trades,wins,losses,win_rate_pct,net_r,start_equity_rm,end_equity_rm,return_pct,max_dd_pct
2026-01,0,0,0,,0,515.9780,515.9780,0.0000,0.0000
2026-02,0,0,0,,0,515.9780,515.9780,0.0000,0.0000
2026-03,3,1,2,33.3333,1,515.9780,535.5207,3.7875,5.0000
2026-04,0,0,0,,0,535.5207,535.5207,0.0000,0.0000
2026-05,0,0,0,,0,535.5207,535.5207,0.0000,0.0000
2026-06,1,1,0,100.0000,3,535.5207,615.8488,15.0000,0.0000
2026-07,1,1,0,100.0000,3,615.8488,708.2261,15.0000,0.0000
2026-08,2,1,1,50.0000,2,708.2261,773.7371,9.2500,5.0000
2026-09,1,0,1,0.0000,-1,773.7371,735.0502,-5.0000,5.0000
