year,feed,start_price,end_price,price_return_pct,median_daily_body_range_eff,p75_daily_body_range_eff,positive_daily_pct,daily_return_vol_pct,median_m15_range_atr,p90_m15_range_atr,median_m15_adx,median_h4_adx,h4_adx_lt18_pct,h4_adx_18_22_pct,h4_adx_22_30_pct,h4_adx_30plus_pct,h1_h4_strong_aligned_pct,h1_h4_aligned_weak_pct,h1_h4_neutral_mix_pct,h1_h4_opposed_pct,h4_bull_bias_pct,h4_bear_bias_pct,h4_neutral_bias_pct,h4_bias_flips,h4_bias_flips_per_30d
2024,secondary,2062.91,2624.61,27.22852669287561,0.43859649122804917,0.6755288736420839,55.27156549520767,0.8649717777737296,0.8855347482001255,1.5841039873362073,23.205222707308177,23.414562205292818,25.385457915578396,18.927458084084588,25.937315696351842,29.74976830398517,36.01819866880108,9.844974302805628,52.839329345353434,1.2974976830398517,43.42825848849945,24.968405088887017,31.60333642261353,35,2.8688524590163937
2025,secondary,2624.48,4318.36,64.54154727793696,0.47969338353953755,0.6486991016217464,56.49122807017544,1.425225723731049,0.8862099453039209,1.571437729616428,23.549515988965922,25.530421831481096,20.266877440952204,19.09986981588246,23.112330295703924,37.52092244746141,39.255160870373814,8.466617072717128,51.27394457876139,1.004277478147666,53.94271898828343,16.570578389436488,29.48670262228008,25,2.0547945205479454
2026,dukascopy,4323.698,4351.625,0.6459054263271868,0.48122621758332185,0.6889139334073571,51.13122171945701,1.8487585231654609,0.8728637086456131,1.5739740109280747,24.346796012088465,26.1954495183242,19.487271423449265,17.132783554440064,26.216087008485715,37.16385801362495,38.376957093342895,8.623162423807816,51.727022827775784,1.2728576550735031,34.06836381020676,35.86112107087367,30.070515118919566,26,3.0232558139534884
