candidate,trades,trades_per_30d,min_month_trades,end_rm,lowest_rm,max_drawdown_pct,params
M15-0001,823,33.775649794801645,16,8.723363199616239,3.331026004747489,98.6898584656016,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0002,481,19.740082079343367,8,8.43707635828997,4.806877196746348,97.99874801443539,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0008,481,19.740082079343367,8,8.43707635828997,4.806877196746348,97.99874801443539,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0018,587,24.09028727770178,9,8.42809372986677,2.803221252235061,98.46817498168609,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0059,676,27.74281805745554,13,8.397342627660562,1.6223793305974434,99.07242335552026,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0085,932,38.24897400820793,15,8.050780817902748,2.0929321918961414,98.9124990374879,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0020,641,26.30642954856361,9,8.01464182138591,3.9022962428574983,98.2446868571468,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0095,836,34.309165526675784,15,7.978370719575731,2.4739833822503963,98.28302450441704,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0319,700,28.72777017783858,14,7.822807161635781,5.2356087286930455,97.66153697353421,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 12, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0024,591,24.254445964432286,9,7.634080261853975,2.9090850930594114,98.41032550591594,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0014,636,26.10123119015048,9,7.632613184772845,3.5232533937029453,98.41518618713573,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0163,666,27.332421340629274,8,7.251945328932292,3.042540278647432,98.33238165507717,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0099,515,21.135430916552668,8,7.228741147994383,4.324239933382117,97.06691800396577,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0105,515,21.135430916552668,8,7.228741147994383,4.324239933382117,97.06691800396577,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0313,699,28.68673050615595,14,7.188306196681019,4.810953138718535,97.85120763984952,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 12, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
