policy,period,trades,wins,wr,exp,pf,freq,dd,end_rm,net_r,questionable_seen,questionable_confirmed,questionable_rejected
IMMEDIATE,2017-2023,318,87,27.358490566037734,0.09433962264150944,1.12987012987013,3.8251804330392947,71.29193054573254,136.41588111622363,30.0,86,0,0
IMMEDIATE,2020-2023,249,68,27.309236947791167,0.09236947791164658,1.12707182320442,5.112936344969199,71.29193054573251,124.57350999035184,23.0,86,0,0
IMMEDIATE,2024-2025,130,47,36.15384615384615,0.4461538461538462,1.6987951807228916,5.33515731874145,43.4137807756327,1008.9223332974509,58.0,86,0,0
A15_STRUCTURE,2017-2023,279,76,27.24014336917563,0.08960573476702509,1.1231527093596059,3.356054530874098,65.06769819063568,123.28996818463946,25.0,98,33,65
A15_STRUCTURE,2020-2023,218,59,27.06422018348624,0.08256880733944955,1.1132075471698113,4.476386036960986,65.06769819063565,109.45253429298087,18.0,98,33,65
A15_STRUCTURE,2024-2025,117,39,33.33333333333333,0.3333333333333333,1.5,4.801641586867305,47.468406383900664,426.24273155856974,39.0,98,33,65
A30_STRUCTURE,2017-2023,287,77,26.82926829268293,0.07317073170731707,1.1,3.4522854851643947,71.54742184938644,99.0126804701774,21.0,94,46,48
A30_STRUCTURE,2020-2023,225,60,26.666666666666668,0.06666666666666667,1.0909090909090908,4.620123203285421,71.54742184938647,92.52632092219358,15.0,94,46,48
A30_STRUCTURE,2024-2025,120,41,34.166666666666664,0.36666666666666664,1.5569620253164558,4.924760601915184,46.9966963945651,535.5207118618977,44.0,94,46,48
B15_MICRO0591,2017-2023,269,76,28.25278810408922,0.13011152416356878,1.1813471502590673,3.2357658380112273,49.385433105046985,205.9167559320293,35.0,98,22,76
B15_MICRO0591,2020-2023,210,60,28.57142857142857,0.14285714285714285,1.2,4.312114989733059,49.385433105046985,199.715243671434,30.0,98,22,76
B15_MICRO0591,2024-2025,116,40,34.48275862068966,0.3793103448275862,1.5789473684210527,4.760601915184679,43.4137807756327,543.1347825954078,44.0,98,22,76
B30_MICRO0591,2017-2023,271,76,28.044280442804425,0.12177121771217712,1.1692307692307693,3.259823576583801,51.73497747293533,185.83987222865633,33.0,96,25,71
B30_MICRO0591,2020-2023,212,60,28.30188679245283,0.1320754716981132,1.1842105263157894,4.353182751540041,51.73497747293532,180.24300741346923,28.0,96,25,71
B30_MICRO0591,2024-2025,116,40,34.48275862068966,0.3793103448275862,1.5789473684210527,4.760601915184679,44.703585667263816,543.134782595408,44.0,96,25,71
C15_EITHER,2017-2023,285,79,27.719298245614034,0.10877192982456141,1.1504854368932038,3.4282277465918205,59.82785291923104,160.7652119573173,31.0,95,43,52
C15_EITHER,2020-2023,223,62,27.802690582959645,0.11210762331838565,1.15527950310559,4.579055441478439,59.82785291923105,150.23341984128544,25.0,95,43,52
C15_EITHER,2024-2025,121,40,33.057851239669425,0.32231404958677684,1.4814814814814814,4.965800273597812,49.646861574836834,420.267341265533,39.0,95,43,52
C30_EITHER,2017-2023,292,79,27.054794520547947,0.0821917808219178,1.1126760563380282,3.51242983159583,67.2795351267944,112.26834342421161,24.0,91,51,40
C30_EITHER,2020-2023,229,62,27.074235807860266,0.08296943231441048,1.1137724550898203,4.702258726899384,67.2795351267944,110.43536862619008,19.0,91,51,40
C30_EITHER,2024-2025,121,42,34.710743801652896,0.3884297520661157,1.5949367088607596,4.965800273597812,46.996696394565085,615.848818641183,47.0,91,51,40
