policy,year,trades,wins,wr,exp,pf,freq,dd,end_rm,net_r
IMMEDIATE,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
IMMEDIATE,2018,14,5,35.714285714285715,0.42857142857142855,1.6666666666666667,1.1506849315068495,22.62190625,126.76566801672247,6.0
IMMEDIATE,2019,55,14,25.454545454545453,0.01818181818181818,1.024390243902439,4.520547945205479,40.12630607616215,86.38484966638791,1.0
IMMEDIATE,2020,58,14,24.137931034482758,-0.034482758620689655,0.9545454545454546,4.754098360655738,60.835412976866785,74.0642104827194,-2.0
IMMEDIATE,2021,62,16,25.806451612903224,0.03225806451612903,1.0434782608695652,5.095890410958904,44.495224093875635,88.39980132296512,2.0
IMMEDIATE,2022,56,16,28.57142857142857,0.14285714285714285,1.2,4.602739726027398,44.70358566726383,120.25680387768215,8.0
IMMEDIATE,2023,73,22,30.136986301369863,0.2054794520547945,1.2941176470588236,6.0,35.50498401197124,158.21817017780904,15.0
IMMEDIATE,2024,72,25,34.72222222222222,0.3888888888888889,1.5957446808510638,5.9016393442622945,43.4137807756327,295.4305870202658,28.0
IMMEDIATE,2025,58,22,37.93103448275862,0.5172413793103449,1.8333333333333333,4.767123287671233,36.97505902753909,341.50909811794185,30.0
IMMEDIATE,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
A15_STRUCTURE,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
A15_STRUCTURE,2018,12,4,33.33333333333333,0.3333333333333333,1.5,0.9863013698630136,18.54937500000002,116.0326480702265,4.0
A15_STRUCTURE,2019,49,13,26.53061224489796,0.061224489795918366,1.0833333333333333,4.027397260273973,37.85858991879678,97.07819996466091,3.0
A15_STRUCTURE,2020,51,14,27.450980392156865,0.09803921568627451,1.135135135135135,4.1803278688524586,51.23250208844704,106.05793346139203,5.0
A15_STRUCTURE,2021,52,13,25.0,0.0,1.0,4.273972602739726,43.11999077235405,83.2324216947011,0.0
A15_STRUCTURE,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
A15_STRUCTURE,2023,62,16,25.806451612903224,0.03225806451612903,1.0434782608695652,5.095890410958904,50.35274963413462,88.39980132296512,2.0
A15_STRUCTURE,2024,66,22,33.33333333333333,0.3333333333333333,1.5,5.409836065573771,44.207048836384324,226.56411316254352,22.0
A15_STRUCTURE,2025,51,17,33.33333333333333,0.3333333333333333,1.5,4.191780821917808,47.46840638390065,188.13338335395196,17.0
A15_STRUCTURE,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
A30_STRUCTURE,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
A30_STRUCTURE,2018,12,4,33.33333333333333,0.3333333333333333,1.5,0.9863013698630136,18.54937500000002,116.0326480702265,4.0
A30_STRUCTURE,2019,50,13,26.0,0.04,1.054054054054054,4.10958904109589,37.85858991879678,92.22428996642786,2.0
A30_STRUCTURE,2020,54,14,25.925925925925924,0.037037037037037035,1.05,4.426229508196721,54.32035337730492,90.93142070146098,2.0
A30_STRUCTURE,2021,54,13,24.074074074074073,-0.037037037037037035,0.9512195121951219,4.438356164383562,45.963991233736344,75.11726057946773,-2.0
A30_STRUCTURE,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
A30_STRUCTURE,2023,64,17,26.5625,0.0625,1.0851063829787233,5.260273972602739,50.35274963413462,96.57678294533937,4.0
A30_STRUCTURE,2024,66,23,34.84848484848485,0.3939393939393939,1.6046511627906976,5.409836065573771,44.207048836384324,274.26182119676315,26.0
A30_STRUCTURE,2025,54,18,33.33333333333333,0.3333333333333333,1.5,4.438356164383562,46.99669639456509,195.2589352484829,18.0
A30_STRUCTURE,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
B15_MICRO0591,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
B15_MICRO0591,2018,11,3,27.27272727272727,0.09090909090909091,1.125,0.904109589041096,26.490810937500015,100.89795484367524,1.0
B15_MICRO0591,2019,48,13,27.083333333333332,0.08333333333333333,1.1142857142857143,3.9452054794520546,34.587989388207134,102.18757891016939,4.0
B15_MICRO0591,2020,50,14,28.000000000000004,0.12,1.1666666666666667,4.0983606557377055,49.385433105046985,111.63992995936002,6.0
B15_MICRO0591,2021,48,14,29.166666666666668,0.16666666666666666,1.2352941176470589,3.9452054794520546,36.975059027539096,123.70075341757348,8.0
B15_MICRO0591,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
B15_MICRO0591,2023,59,16,27.11864406779661,0.0847457627118644,1.1162790697674418,4.8493150684931505,49.194713129405635,103.10517722462761,5.0
B15_MICRO0591,2024,67,23,34.32835820895522,0.373134328358209,1.5681818181818181,5.491803278688525,43.4137807756327,260.54873013692514,25.0
B15_MICRO0591,2025,49,17,34.69387755102041,0.3877551020408163,1.59375,4.027397260273973,41.79324807080405,208.45804249745373,19.0
B15_MICRO0591,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
B30_MICRO0591,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
B30_MICRO0591,2018,11,3,27.27272727272727,0.09090909090909091,1.125,0.904109589041096,26.490810937500015,100.89795484367524,1.0
B30_MICRO0591,2019,48,13,27.083333333333332,0.08333333333333333,1.1142857142857143,3.9452054794520546,34.587989388207134,102.18757891016939,4.0
B30_MICRO0591,2020,50,14,28.000000000000004,0.12,1.1666666666666667,4.0983606557377055,49.385433105046985,111.63992995936002,6.0
B30_MICRO0591,2021,49,14,28.57142857142857,0.14285714285714285,1.2,4.027397260273973,40.126306076162145,117.51571574669482,7.0
B30_MICRO0591,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
B30_MICRO0591,2023,60,16,26.666666666666668,0.06666666666666667,1.0909090909090908,4.931506849315069,49.194713129405635,97.94991836339622,4.0
B30_MICRO0591,2024,66,23,34.84848484848485,0.3939393939393939,1.6046511627906976,5.409836065573771,43.4137807756327,274.26182119676344,26.0
B30_MICRO0591,2025,50,17,34.0,0.36,1.5454545454545454,4.10958904109589,44.703585667263845,198.03514037258103,18.0
B30_MICRO0591,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
C15_EITHER,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
