year,technique,session,direction_text,router_mode,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2026,V1 Legacy M15,NEW_YORK,LONG,TREND,30+,1,1.9739085491846473,1.9739085491846473,100.0
2026,Outcome First M15,NEW_YORK,SHORT,MIXED,22-30,1,1.97874695842679,1.97874695842679,100.0
2024,V1 Legacy M15,LONDON,SHORT,MIXED,22-30,1,1.9802553443842505,1.9802553443842505,100.0
2026,V1 Legacy M15,NEW_YORK,SHORT,TREND,18-22,1,1.9844403260383514,1.9844403260383514,100.0
2026,Structural Frequency M15,NEW_YORK,LONG,MIXED,30+,1,1.9857275408154538,1.9857275408154538,100.0
2025,Structural Frequency M15,NEW_YORK,SHORT,MIXED,<18,3,2.0126395111093283,0.6708798370364427,66.66666666666666
2024,Structural Frequency M15,NEW_YORK,LONG,MIXED,30+,4,2.0722134367819542,0.5180533591954886,50.0
2025,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,18-22,3,2.0776037188411483,0.6925345729470495,66.66666666666666
2025,Outcome First M15,NEW_YORK,LONG,TREND,30+,4,2.2035398208493913,0.5508849552123478,50.0
2024,M15-0591 MTF,NEW_YORK,LONG,TREND,30+,6,2.242253925183163,0.3737089875305271,50.0
2024,Structural Frequency M15,NEW_YORK,LONG,MIXED,18-22,4,2.279971239923041,0.5699928099807603,75.0
2025,Structural Portfolio MTF,OTHER,LONG,MIXED,<18,4,2.326995772528239,0.5817489431320597,50.0
2025,V1 Legacy M15,ASIA,LONG,TREND,30+,14,2.3862815557566766,0.17044868255404833,35.714285714285715
2025,Structural Portfolio MTF,LONDON,LONG,TREND,22-30,1,2.465559549442235,2.465559549442235,100.0
2025,M15-0591 MTF,ASIA,LONG,TREND,22-30,4,2.5830489475261227,0.6457622368815307,50.0
2025,Structural Frequency M15,LONDON,LONG,MIXED,30+,9,2.618480309670095,0.29094225663001055,44.44444444444444
2024,Structural Portfolio MTF,ASIA,SHORT,MIXED,<18,5,2.6811235963091464,0.5362247192618292,40.0
2024,Structural Portfolio MTF,LONDON,LONG,MIXED,22-30,5,2.7268423736353506,0.5453684747270702,60.0
2025,Structural Portfolio MTF,LONDON,SHORT,MIXED,22-30,5,2.7593130911454695,0.5518626182290939,40.0
2024,Outcome First M15,NEW_YORK,LONG,MIXED,<18,7,2.7847250383361466,0.3978178626194495,42.857142857142854
2026,Structural Portfolio MTF,LONDON,SHORT,MIXED,<18,3,2.7865002313943164,0.9288334104647721,66.66666666666666
2024,V1 Legacy M15,NEW_YORK,LONG,TREND,18-22,4,2.801855304438649,0.7004638261096623,50.0
2024,Structural Frequency M15,LONDON,SHORT,MIXED,30+,4,2.8164294202396714,0.7041073550599178,50.0
2025,V1 Legacy M15,LONDON,LONG,TREND,22-30,4,2.8299291439718903,0.7074822859929726,50.0
2025,Structural Frequency M15,LONDON,SHORT,MIXED,<18,3,2.838989475845577,0.9463298252818589,66.66666666666666
2026,Outcome First M15,NEW_YORK,LONG,MIXED,<18,2,2.8711047436108235,1.4355523718054117,100.0
2024,M15-0591 MTF,NEW_YORK,SHORT,TREND,18-22,4,2.8908606794761154,0.7227151698690288,50.0
2026,Structural Portfolio MTF,OTHER,SHORT,MIXED,22-30,3,2.905842485307147,0.968614161769049,66.66666666666666
2025,Structural Portfolio MTF,LONDON,LONG,MIXED,22-30,1,2.9152914513080557,2.9152914513080557,100.0
