year,technique,session,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,LONDON,34,-19.824812880640998,-0.5830827317835587,17.647058823529413
2024,M15-0591 MTF,LONDON,30,-10.891476583095066,-0.3630492194365022,16.666666666666664
2024,Structural Portfolio MTF,NEW_YORK,40,-10.761999473580216,-0.26904998683950543,30.0
2024,Structural Portfolio MTF,ASIA,22,-7.299563333856057,-0.33179833335709347,18.181818181818183
2024,V1 Legacy M15,LONDON,19,-6.697262585909138,-0.3524875045215336,21.052631578947366
2025,Structural Portfolio MTF,ASIA,33,-6.342914275050636,-0.1922095234863829,21.21212121212121
2026,Structural Portfolio MTF,LONDON,16,-6.172688915284761,-0.38579305720529755,25.0
2024,Outcome First M15,LONDON,39,-5.625346123408112,-0.14423964418995158,25.64102564102564
2024,V1 Legacy M15,OTHER,27,-5.133477600902699,-0.1901288000334333,29.629629629629626
2025,V1 Legacy M15,OTHER,27,-4.289820761020147,-0.1588822504081536,29.629629629629626
2026,V1 Legacy M15,ASIA,19,-4.283688064180334,-0.22545726653580703,31.57894736842105
2026,Outcome First M15,OTHER,4,-4.106179705158471,-1.0265449262896178,0.0
2025,M15-0591 MTF,LONDON,16,-2.145998000810726,-0.13412487505067036,25.0
2026,Structural Frequency M15,OTHER,3,-1.5190025290651812,-0.5063341763550604,33.33333333333333
2026,Structural Portfolio MTF,OTHER,17,-1.4609880159305877,-0.08594047152532869,35.294117647058826
2026,V1 Legacy M15,LONDON,12,-1.297935875029672,-0.10816132291913932,25.0
2025,M15-0591 MTF,OTHER,6,-1.2680920284285275,-0.21134867140475458,16.666666666666664
2025,V1 Legacy M15,NEW_YORK,11,-1.222984067562844,-0.11118036977844037,36.36363636363637
2026,M15-0591 MTF,ASIA,18,-1.1830562711496007,-0.06572534839720004,27.77777777777778
2024,Outcome First M15,NEW_YORK,34,-1.0871597807011195,-0.031975287667679986,35.294117647058826
2024,Outcome First M15,OTHER,6,-1.0598879562678025,-0.1766479927113004,33.33333333333333
2026,Structural Frequency M15,NEW_YORK,18,-0.3497210146640417,-0.019428945259113428,27.77777777777778
2024,M15-0591 MTF,NEW_YORK,27,0.29432489602475653,0.010900922074990983,33.33333333333333
2026,Outcome First M15,LONDON,26,0.31854811757069723,0.012251850675796047,26.923076923076923
2024,Structural Frequency M15,LONDON,22,0.38671757848859967,0.017578071749481804,36.36363636363637
2024,V1 Legacy M15,NEW_YORK,21,0.5299247574220267,0.02523451225819175,33.33333333333333
2024,Structural Portfolio MTF,OTHER,27,1.6474808252440274,0.06101780834237139,37.03703703703704
2024,Structural Frequency M15,OTHER,5,1.770083968249676,0.3540167936499352,60.0
2024,V1 Legacy M15,ASIA,19,1.898178912011546,0.09990415326376557,36.84210526315789
2025,Structural Portfolio MTF,OTHER,29,2.2357148122401935,0.07709361421517909,34.48275862068966
2025,V1 Legacy M15,LONDON,13,3.0629076045501034,0.23560827727308487,38.46153846153847
2025,Structural Frequency M15,NEW_YORK,25,3.7652402807474052,0.15060961122989622,44.0
2026,V1 Legacy M15,NEW_YORK,10,3.819062598963484,0.3819062598963484,40.0
2026,M15-0591 MTF,NEW_YORK,11,3.8310268384503368,0.3482751671318488,45.45454545454545
2025,Structural Frequency M15,OTHER,3,3.8813180879022298,1.2937726959674098,66.66666666666666
2025,Outcome First M15,OTHER,3,3.888114445878479,1.2960381486261596,66.66666666666666
2026,V1 Legacy M15,OTHER,26,3.9319022617664237,0.15122701006793937,38.46153846153847
2025,M15-0591 MTF,NEW_YORK,15,4.341283266841148,0.28941888445607655,40.0
2025,Structural Portfolio MTF,LONDON,30,4.9657318774440755,0.16552439591480253,33.33333333333333
2024,M15-0591 MTF,ASIA,15,5.307303765219752,0.3538202510146501,46.666666666666664
2026,M15-0591 MTF,LONDON,8,5.773422628215911,0.7216778285269889,37.5
2025,Outcome First M15,LONDON,30,6.583289794380277,0.21944299314600924,40.0
2025,Outcome First M15,NEW_YORK,17,6.886561192620524,0.40509183486003086,52.94117647058824
2025,Structural Frequency M15,LONDON,37,7.295843260588993,0.1971849529888917,43.24324324324324
2026,Structural Frequency M15,LONDON,25,7.5112025675954,0.300448102703816,48.0
2025,Structural Portfolio MTF,NEW_YORK,30,8.347282789089423,0.2782427596363141,43.333333333333336
2024,Structural Frequency M15,NEW_YORK,30,8.934132747314948,0.29780442491049824,50.0
2025,V1 Legacy M15,ASIA,25,11.044847877089826,0.441793915083593,44.0
2026,Outcome First M15,NEW_YORK,17,11.871330241843138,0.6983135436378316,58.82352941176471
2026,M15-0591 MTF,OTHER,6,12.834304423085543,2.139050737180924,66.66666666666666
2026,Structural Portfolio MTF,NEW_YORK,20,15.710117408171687,0.7855058704085843,50.0
2024,M15-0591 MTF,OTHER,16,16.95207328115398,1.0595045800721237,56.25
2026,Structural Portfolio MTF,ASIA,28,17.07145268367668,0.6096947387027385,42.857142857142854
2025,M15-0591 MTF,ASIA,15,19.602041377135556,1.3068027584757038,73.33333333333333
