strategy,m15_end_rm,mtf_end_rm,delta_rm,m15_trades,mtf_trades,m15_min_month,mtf_min_month,mtf_lowest_rm,mtf_frequency_pass,mtf_growth_pass,mtf_requested_fit
M15-0591,190.16629577123703,419.75306021271706,229.58676444148003,263,238,21,21,42.17501665177352,True,True,True
V1 Legacy M15,345.8002294739163,304.2023451003913,-41.597884373525005,321,301,31,31,63.069551329860765,True,True,True
Structural Portfolio M15,199.6024166455459,258.1527031553509,58.55028650980498,125,124,11,10,92.65306114668151,True,True,True
Structural Frequency M15,237.78371817840258,192.89228088978768,-44.891437288614895,113,113,8,8,93.30581028067014,True,True,True
Outcome First M15,419.5960160617378,152.65193738661125,-266.94407867512655,121,107,10,10,66.80974564442869,True,True,True
