month,trades,win_rate,net_r,pnl_rm,ending_balance_rm
2026-01,1,0.0,-1.0888993723460993,-5.444496861730497,94.5555031382695
2026-02,0,,0.0,0.0,
2026-03,0,,0.0,0.0,
2026-04,0,,0.0,0.0,
2026-05,0,,0.0,0.0,
2026-06,0,,0.0,0.0,
2026-07,0,,0.0,0.0,
2026-08,0,,0.0,0.0,
2026-09,0,,0.0,0.0,
2026-10,0,,0.0,0.0,
2026-11,0,,0.0,0.0,
2026-12,0,,0.0,0.0,
