month,trades,win_rate,net_r,pnl_rm,ending_balance_rm
2026-01,7,0.0,-7.390747968071265,-31.59017005787276,68.40982994212725
2026-02,10,10.0,-7.34342979324207,-21.824836755784197,46.584993186343056
2026-03,9,44.44444444444444,6.764098214720797,15.620736397436138,62.2057295837792
2026-04,16,18.75,-3.66933166942654,-13.23402636204949,48.971703221729726
2026-05,14,35.714285714285715,2.298285333838404,3.4719784269029605,52.44368164863269
2026-06,9,0.0,-9.456410361168192,-20.17706326625074,32.26661838238194
2026-07,12,58.333333333333336,10.351746427455698,19.27716738741566,51.54378576979761
2026-08,8,37.5,1.600907962224724,2.8707548383088417,54.41454060810645
2026-09,9,66.66666666666666,13.492596177071825,46.25638567360926,100.67092628171568
2026-10,0,,0.0,0.0,
2026-11,0,,0.0,0.0,
2026-12,0,,0.0,0.0,
