window,month,trades,pnl_rm,ending_balance_rm
2024,2024-01,31,-30.686952983113486,69.31304701688651
2024,2024-02,34,-22.419664803929507,46.89338221295701
2024,2024-03,35,21.946485264257902,68.83986747721491
2024,2024-04,39,-31.80415066162388,37.03571681559103
2024,2024-05,39,-19.168608405894094,17.867108409696936
2024,2024-06,35,-7.8088675274266475,10.058240882270288
2024,2024-07,36,-1.8450775993832753,8.213163282887013
2024,2024-08,33,-0.4514675029085069,7.761695779978506
2024,2024-09,35,0.8042577397939166,8.565953519772423
2024,2024-10,42,-1.3866092323145285,7.179344287457894
2024,2024-11,34,-0.8831957644643511,6.296148522993543
2024,2024-12,40,0.5634624204279906,6.859610943421534
2025,2025-01,36,54.54056365488009,154.5405636548801
2025,2025-02,32,5.321878823638372,159.86244247851846
2025,2025-03,31,103.93802277652702,263.8004652550455
2025,2025-04,36,174.29292731951818,438.09339257456367
2025,2025-05,28,-85.52789609040445,352.5654964841592
2025,2025-06,29,130.3096155048113,482.8751119889705
2025,2025-07,41,1.1801568002523481,484.05526878922285
2025,2025-08,31,-191.32442082007776,292.7308479691451
2025,2025-09,19,150.25210188287843,442.9829498520235
2025,2025-10,20,138.05498801604864,581.0379378680722
2025,2025-11,28,-75.02279980763097,506.0151380604412
2025,2025-12,34,469.65796447275585,975.673102533197
2024-2025 continuous,2024-01,31,-30.686952983113486,69.31304701688651
2024-2025 continuous,2024-02,34,-22.419664803929507,46.89338221295701
2024-2025 continuous,2024-03,35,21.946485264257902,68.83986747721491
2024-2025 continuous,2024-04,39,-31.80415066162388,37.03571681559103
2024-2025 continuous,2024-05,39,-19.168608405894094,17.867108409696936
2024-2025 continuous,2024-06,35,-7.8088675274266475,10.058240882270288
2024-2025 continuous,2024-07,36,-1.8450775993832753,8.213163282887013
2024-2025 continuous,2024-08,33,-0.4514675029085069,7.761695779978506
2024-2025 continuous,2024-09,35,0.8042577397939166,8.565953519772423
2024-2025 continuous,2024-10,42,-1.3866092323145285,7.179344287457894
2024-2025 continuous,2024-11,34,-0.8831957644643511,6.296148522993543
2024-2025 continuous,2024-12,40,0.5634624204279906,6.859610943421534
2024-2025 continuous,2025-01,36,3.7412704730739383,10.600881416495472
2024-2025 continuous,2025-02,32,0.3650601821819297,10.965941598677402
2024-2025 continuous,2025-03,31,7.1297439847546205,18.095685583432022
2024-2025 continuous,2025-04,36,11.95581671601941,30.051502299451432
2024-2025 continuous,2025-05,28,-5.866880919895571,24.18462137955586
2024-2025 continuous,2025-06,29,8.938732645498565,33.123354025054425
2024-2025 continuous,2025-07,41,0.0809541650196266,33.20430819007405
2024-2025 continuous,2025-08,31,-13.124110908011943,20.08019728206211
2024-2025 continuous,2025-09,19,10.306709623478795,30.386906905540904
2024-2025 continuous,2025-10,20,9.470035065888148,39.85694197142905
2024-2025 continuous,2025-11,28,-5.146272185665495,34.71066978576356
2024-2025 continuous,2025-12,34,32.21670912762396,66.92737891338751
