year,feed,variant,trades,trades_per_30d,min_completed_month_trades,ending_balance_rm,lowest_balance_rm,max_drawdown_pct,passes_frequency,passes_growth,requested_fit
2024,secondary,BASELINE,433,35.49180327868852,31,6.8596109434215435,4.411332148154292,96.11861450757515,True,False,False
2024,secondary,NO_DOUBLE_OPPOSE,425,34.83606557377049,30,10.674517774267603,6.1058730701253,94.62764390505309,True,False,False
2024,secondary,LONDON_CONSENSUS,360,29.508196721311474,26,25.42257759339055,11.000165877018775,88.99983412298123,True,False,False
2024,secondary,NARROW_CONFIRM,404,33.114754098360656,27,18.945318320682915,10.817160579810063,90.45118335067919,True,False,False
2024,secondary,COMBINED_GUARD,381,31.229508196721312,25,26.34948850270505,12.95928141875636,87.04071858124364,True,False,False
2025,secondary,BASELINE,365,30.0,19,1056.1783571449484,97.42476311389939,58.04756171376949,True,True,True
2025,secondary,NO_DOUBLE_OPPOSE,361,29.671232876712327,19,1080.7286271050525,97.42476311389939,55.72577802335991,True,True,True
2025,secondary,LONDON_CONSENSUS,310,25.47945205479452,18,328.2250378481497,84.27474699089855,77.43192335872034,True,True,True
2025,secondary,NARROW_CONFIRM,348,28.602739726027398,18,1859.3646602014135,97.42476311389939,46.94114326973958,True,True,True
2025,secondary,COMBINED_GUARD,322,26.465753424657535,18,868.5411322219516,100.0,68.63668344100229,True,True,True
2026,dukascopy,BASELINE,284,32.951414068165334,22,842.284569884744,75.44963127711245,48.24777000764659,True,True,True
2026,dukascopy,NO_DOUBLE_OPPOSE,278,32.255257432922406,22,1038.8485728676337,75.44963127711245,48.24777000764661,True,True,True
2026,dukascopy,LONDON_CONSENSUS,237,27.498187092095723,20,863.2502633865519,94.91508759482657,41.89345620404465,True,True,True
2026,dukascopy,NARROW_CONFIRM,255,29.58665699782451,19,818.1346031367038,75.44963127711245,48.2609307720401,True,True,True
2026,dukascopy,COMBINED_GUARD,236,27.3821609862219,18,629.9141328000362,93.30581028067016,42.4964816625956,True,True,True
